date,merchant,amount,category,source,subject
2026-03-26,495938258836,320.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 320.00 was debited from your A/c no. XX2267.
2026-03-26,603543234959,119.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 119.00 was debited from your A/c no. XX2267.
2026-03-26,147351576323,20.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 20.00 was debited from your A/c no. XX2267.
2026-03-26,448422436336,2274.5,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 2274.50 was debited from your A/c no. XX2267.
2026-03-26,494946635491,103.0,Other,"""alerts@axis.bank.in"" <alerts@axis.bank.in>",INR 103.00 was debited from your A/c no. XX2267.
2026-03-26,516496750920,30.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 30.00 was debited from your A/c no. XX2267.
2026-03-26,588459160933,256.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 256.00 was debited from your A/c no. XX2267.
2026-03-26,571423589847,540.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 540.00 was debited from your A/c no. XX2267.
2026-03-26,829181716523,105.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 105.00 was debited from your A/c no. XX2267.
2026-03-26,638854179503,54.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 54.00 was debited from your A/c no. XX2267.
2026-03-26,800498642539,60.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 60.00 was debited from your A/c no. XX2267.
2026-03-26,955039237580,188.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 188.00 was debited from your A/c no. XX2267.
2026-03-26,843699600088,550.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 550.00 was debited from your A/c no. XX2267.
2026-03-26,941402083695,2322.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 2322.00 was debited from your A/c no. XX2267.
2026-03-10,your,34698.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,Debit transaction alert for Axis Bank A/c
2026-03-10,your,24378.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,Debit transaction alert for Axis Bank A/c
2026-03-26,482808514003,147.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 147.00 was debited from your A/c no. XX2267.
2026-03-26,061485011536,145.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 145.00 was debited from your A/c no. XX2267.
2026-03-11,Loan EMI,24378.0,EMI,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,Payment credited to your Loan account no. XX4023
2026-03-12,Loan EMI,34698.0,EMI,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,Payment credited to your Loan account no. XX3874
2026-03-26,372846740738,307.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 307.00 was debited from your A/c no. XX2267.
2026-03-26,969636309709,60.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 60.00 was debited from your A/c no. XX2267.
2026-03-26,068456710427,174.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 174.00 was debited from your A/c no. XX2267.
2026-03-26,363227787003,529.82,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 529.82 was debited from your A/c no. XX2267.
2026-03-26,415263321101,30.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 30.00 was debited from your A/c no. XX2267.
2026-03-26,771490307615,191.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 191.00 was debited from your A/c no. XX2267.
2026-03-26,822549520733,240.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 240.00 was debited from your A/c no. XX2267.
2026-03-26,253188761765,3534.95,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 3534.95 was debited from your A/c no. XX2267.
2026-03-26,790930696053,123.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 123.00 was debited from your A/c no. XX2267.
2026-03-26,334999095026,55.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 55.00 was debited from your A/c no. XX2267.
2026-03-26,194181110360,269.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 269.00 was debited from your A/c no. XX2267.
2026-03-26,644651774866,280.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 280.00 was debited from your A/c no. XX2267.
2026-03-26,295394823989,156.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 156.00 was debited from your A/c no. XX2267.
2026-03-26,916600497354,423.2,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 423.20 was debited from your A/c no. XX2267.
2026-03-26,106889801969,20.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 20.00 was debited from your A/c no. XX2267.
2026-03-26,882829681065,30.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 30.00 was debited from your A/c no. XX2267.
2026-03-26,190294580364,141.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 141.00 was debited from your A/c no. XX2267.
2026-03-26,013758260368,30.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 30.00 was debited from your A/c no. XX2267.
2026-03-26,644806043858,60.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 60.00 was debited from your A/c no. XX2267.
2026-03-26,644825248491,729.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 729.00 was debited from your A/c no. XX2267.
2026-03-26,848984657888,156.44,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 156.44 was debited from your A/c no. XX2267.
2026-03-26,917184456535,278.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 278.00 was debited from your A/c no. XX2267.
2026-03-26,106849615052,68.98,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 68.98 was debited from your A/c no. XX2267.
2026-03-26,185175652682,95.0,Other,"""alerts@axis.bank.in"" <alerts@axis.bank.in>",INR 95.00 was debited from your A/c no. XX2267.
2026-03-26,288468780772,50.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 50.00 was debited from your A/c no. XX2267.
2026-03-26,205081738759,196.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 196.00 was debited from your A/c no. XX2267.
2026-03-26,435566102180,20.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 20.00 was debited from your A/c no. XX2267.
2026-03-26,817743885669,185.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 185.00 was debited from your A/c no. XX2267.
2026-03-28,940945949622,65.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 65.00 was debited from your A/c no. XX2267.
2026-03-28,482130291552,360.0,Uncategorized,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 360.00 was debited from your A/c no. XX2267.
2026-03-28,197750820908,292.0,Uncategorized,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 292.00 was debited from your A/c no. XX2267.
